Time;L.ShoulderF;L.ShoulderS;L.ElbowR;L.Elbow;L.WristR;L.WristS;L.WristF;L.Finger.Index;L.Finger.Little;L.Finger.Middle;L.Finger.Ring;L.Finger.ThumbS;L.Finger.Thumb;R.ShoulderF;R.ShoulderS;R.ElbowR;R.Elbow;R.WristR;R.WristS;R.WristF;R.Finger.Index;R.Finger.Little;R.Finger.Middle;R.Finger.Ring;R.Finger.ThumbS;R.Finger.Thumb;TorsoR;TorsoF;TorsoS
100;6,048;16,368;1,974;3,2;-8,584;14,664;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,184;20,398;-5,16;11,194;-13,818;0,846;20,003;16,019;45,899;38,429;-117,375;-307,183;130,3294;-3,867969;115,1081
200;6,048;16,368;1,974;3,2;-8,584;14,664;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,096;20,398;-5,16;11,194;-13,818;0,9399999;20,003;16,019;45,899;38,595;-117,375;-307,183;130,7254;-4,171657;134,1276
300;6,048;16,28;2,068;3,2;-8,584;14,758;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,184;20,586;-5,14;11,194;-14,1;1,034;20,003;16,019;45,899;38,595;-117,375;-307,183;131,0603;-4,758147;152,8516
400;6,048;16,368;2,162;3,2;-8,584;14,758;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,272;20,586;-4,98;11,194;-14,1;1,034;20,003;16,019;45,899;38,678;-117,375;-307,183;131,1421;-5,422583;170,2717
500;6,048;16,28;1,88;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,36;20,68;-4,94;11,194;-14,006;1,034;20,003;16,019;45,899;38,844;-117,375;-307,183;131,0185;-6,602;-170,7066
600;6,048;16,368;1,598;3,2;-8,584;14,758;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,272;20,774;-4,94;11,136;-13,912;0,846;20,003;16,019;45,899;39,01;-117,375;-307,183;130,7809;-7,184428;-154,045
700;5,985;16,368;1,222;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,272;21,15;-4,94;11,136;-14,006;0,752;20,086;16,019;45,899;39,093;-117,375;-307,183;130,4624;-7,642269;-137,0827
800;5,859;16,368;0,9399999;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,272;21,15;-4,94;11,136;-14,006;0,752;20,003;16,019;45,899;39,093;-117,375;-307,183;130,1856;-8,000119;-118,3996
900;5,859;16,368;0,846;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,1;45,152;6,552;-8,448;21,056;-4,94;11,136;-14,006;0,846;20,086;16,019;45,899;39,176;-117,375;-307,183;129,9266;-8,228046;-100,4454
1000;5,859;16,368;0,752;3,2;-8,584;14,852;191,76;-44,571;-82,253;-57,021;-70,633;14,025;45,152;6,552;-8,448;20,962;-4,94;11,136;-14,1;0,658;20,086;16,019;45,899;39,259;-117,375;-307,183;129,6239;-8,39755;-81,75845
