Time;L.ShoulderF;L.ShoulderS;L.ElbowR;L.Elbow;L.WristR;L.WristS;L.WristF;L.Finger.Index;L.Finger.Little;L.Finger.Middle;L.Finger.Ring;L.Finger.ThumbS;L.Finger.Thumb;R.ShoulderF;R.ShoulderS;R.ElbowR;R.Elbow;R.WristR;R.WristS;R.WristF;R.Finger.Index;R.Finger.Little;R.Finger.Middle;R.Finger.Ring;R.Finger.ThumbS;R.Finger.Thumb;TorsoR;TorsoF;TorsoS
100;6,552;16,896;4,7;3,22;-5,916;17,484;191,76;-52,622;-82,253;-62,084;-75,364;16,5;46,48;8,064;-9,856;19,646;-6,62;15,08;-11,75;-5,828;13,446;21,912;2,988;-12,284;-117,375;-307,183;112,3002;-27,41323;-32,14087
200;6,552;16,984;4,794;3,22;-5,916;17,484;191,76;-52,622;-82,253;-62,084;-75,364;16,5;46,48;8,127;-9,944;19,458;-6,62;13,804;-9,493999;-3,854;13,28;21,912;2,656;-4,731;-117,375;-307,183;112,3037;-27,88471;-13,48477
300;6,552;16,984;4,794;3,22;-5,916;17,484;191,76;-52,622;-82,253;-62,084;-75,364;16,5;46,48;8,190001;-9,944;19,458;-6,62;12,47;-8,177999;-2,914;14,691;21,912;8,964;0,83;-117,375;-307,183;112,246;-28,54279;6,0944
400;6,552;16,984;4,794;3,22;-5,916;17,484;191,76;-52,622;-82,253;-62,001;-75,364;16,5;46,48;8,316;-9,944;19,646;-6,62;12,296;-8,742;-4,794;15,687;21,912;19,173;13,695;-117,375;-307,183;112,0602;-29,11184;25,28542
500;6,552;16,984;4,512;3,22;-5,916;17,484;191,76;-52,622;-82,253;-62,084;-75,364;16,5;46,48;8,316;-10,12;20,398;-6,62;12,296;-9,024;-6,204;16,683;21,912;25,398;23,406;-117,375;-307,183;111,701;-29,38023;41,9451
600;6,552;17,072;3,854;3,22;-5,916;17,39;191,76;-52,622;-82,253;-62,084;-75,364;16,575;46,48;7,875;-10,384;21,056;-6,62;12,296;-9,4;-7,238;17,928;21,912;26,062;26,145;-117,375;-307,183;111,1015;-29,2132;61,76093
700;6,174;17,16;3,76;3,22;-5,916;17,578;191,76;-52,622;-82,253;-62,001;-75,364;16,575;46,48;5,733;-10,912;22,654;-6,62;12,122;-10,904;-6,768;18,094;21,912;26,145;26,311;-117,375;-307,183;110,636;-28,69721;79,39024
800;5,733;17,16;3,384;3,22;-5,916;17,578;191,76;-52,622;-82,253;-62,084;-75,364;16,575;46,48;2,457;-11,176;25,474;-6,72;11,6;-11,374;-6,11;18,177;21,995;28,635;27,639;-17,4;-49,634;110,3949;-28,2533;99,2762
900;5,355;17,424;3,384;3,22;-5,916;17,484;191,76;-52,622;-82,253;-62,084;-75,364;16,575;46,48;-2,646;-11,264;29,516;-8,32;8,584;-13,912;-6,11;18,177;21,995;33,2;29,05;-117,375;-307,183;110,4297;-27,71724;119,4642
1000;4,221;17,6;2,162;3,22;-5,916;17,108;191,76;-52,622;-82,253;-62,084;-75,364;16,575;46,48;-9,576;-11,88;32,336;-11,56;5,51;-14,852;-6,298;18,26;21,995;34,113;29,548;-117,375;-307,183;111,1672;-27,00582;139,4525
1100;3,15;17,864;1,222;3,22;-6,032;16,92;191,76;-52,622;-82,253;-62,084;-75,364;16,575;46,48;-18,711;-12,76;33,652;-14,66;2,726;-15,886;-6,862;18,26;21,995;37,765;30,378;-117,375;-307,183;112,2107;-26,66899;159,9287
1200;1,89;18,304;-0,9399999;3,28;-6,322;17,39;191,76;-52,622;-82,253;-62,084;-75,364;16,65;46,48;-31,689;-13,024;31,96;-15,22;-2,03;-15,792;-8,271999;18,343;21,995;41,002;32,536;-117,375;-307,183;113,1329;-26,69905;-179,8137
1300;0,945;18,832;-2,162;3,72;-6,438;17,296;191,76;-52,622;-82,253;-62,084;-75,364;16,65;46,48;-43,722;-12,936;29,798;-14,56;0,406;-13,724;-6,298;18,924;21,995;41,085;32,951;-117,375;-307,183;114,4485;-26,60241;-161,4753
1400;0,945;19,184;-2,444;3,78;-6,554;16,92;191,76;-52,622;-82,253;-62,084;-75,364;16,65;46,48;-52,101;-12,584;26,132;-14,54;-7,308;-8,271999;-3,948;20,252;21,995;41,168;32,951;-15,375;-44,488;116,0822;-26,60409;-143,1769
1500;0,693;19,448;-2,914;3,78;-6,612;16,826;191,76;-52,622;-82,253;-62,084;-75,364;16,65;46,48;-59,094;-11,968;25,38;-14,54;-16,24;-4,982;-1,692;20,75;21,995;41,168;32,951;-15,525;-44,488;117,2212;-27,45744;-124,3364
1600;0;19,888;-3,102;3,98;-6,786;16,826;191,76;-52,622;-82,253;-62,084;-75,364;16,875;46,48;-63,63;-11,616;20,586;-14,48;-19,256;-3,948;-0,47;21,331;21,995;41,168;32,951;-15,825;-44,488;117,9997;-28,79521;-107,1366
1700;-0,63;20,24;-3,478;3,98;-7,54;16,826;191,76;-52,622;-82,253;-62,084;-75,364;17,4;46,48;-66,717;-11,44;14,57;-13,74;-22,446;-4,7;-0,376;22,825;21,995;42,662;33,034;-15,825;-44,488;118,3506;-30,05044;-88,81025
1800;-0,756;20,328;-3,29;3,98;-7,598;16,732;191,76;-52,622;-82,253;-62,084;-75,364;17,7;46,48;-68,355;-11,264;10,152;-12,08;-21,692;-5,076;-1,786;23,406;21,995;42,745;32,951;-15,825;-44,488;118,5441;-30,72512;-71,56577
1900;-0,756;20,416;-2,35;3,98;-7,598;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18;46,48;-68,607;-11,264;7,426;-11,8;-21,634;-5,076;-2,35;23,572;21,995;43,16;32,951;-15,825;-44,239;118,7449;-31,19379;-50,44844
2000;-0,756;20,416;-1,88;3,98;-7,598;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,075;46,48;-69,048;-11,264;8,084;-11,8;-21,634;-5,358;-1,598;23,655;21,995;43,741;33,117;-15,825;-43,326;119,0607;-31,33386;-33,13457
2100;-0,756;20,504;-2,444;3,98;-7,714;16,45;191,76;-52,622;-82,253;-62,001;-75,364;18,225;46,48;-69,237;-11,44;8,084;-11,8;-21,634;-5,452;-1,974;24,153;21,995;44,405;33,615;-15,825;-42,994;119,3621;-31,5134;-14,50963
2200;-0,756;20,504;-2,726;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,001;-75,364;18,225;46,48;-69,3;-11,528;7,802;-11,8;-21,228;-5,264;-1,974;37,599;21,995;47,061;39,84;-15,825;-41,832;119,738;-31,97993;4,073139
2300;-0,756;20,416;-2,444;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,225;46,48;-69,3;-11,528;7,238;-11,8;-21,228;-5,076;-1,88;53,452;44,488;61,752;67,562;-15,225;-40,421;120,0438;-32,59949;26,32163
2400;-0,756;20,416;-2,162;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,225;46,48;-69,3;-11,528;7,144;-11,8;-22,098;-4,606;-3,196;70,384;89,64;96,612;107,568;-11,1;-40,421;120,1721;-33,15704;43,61358
2500;-0,756;20,416;-2,444;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,225;46,48;-69,3;-11,528;7,05;-11,8;-25,172;-2,726;-4,512;93,209;121,512;123,255;133,132;-7,125;-50,132;120,2097;-33,54495;61,75693
2600;-0,756;20,416;-2,726;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,15;46,48;-69,678;-11,704;7,708;-11,92;-26,448;-0,188;-1,222;110,805;133,879;133,796;136,784;-6,3;-75,115;120,1186;-33,8308;82,43392
2700;-0,756;20,416;-2,538;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,15;46,48;-69,93;-11,968;8,929999;-12,32;-29;0,846;0,282;119,52;138,942;138,278;137,199;-5,925;-83,41499;119,8795;-34,059;101,5286
2800;-0,756;20,328;-2,162;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,225;46,48;-69,93;-11,968;10,246;-12,88;-29,29;0,846;0,282;120,682;139,274;139,606;137,282;-6;-83,82999;119,5727;-34,20951;119,9771
2900;-0,756;20,328;-2,068;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,375;46,48;-70,182;-12,056;11,562;-13,4;-29,29;0,658;0,094;120,682;139,274;139,689;137,282;-6,45;-83,82999;119,2615;-34,32499;141,6535
3000;-0,756;20,328;-2,162;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,375;46,48;-70,308;-12,144;12,314;-13,6;-29,29;0,564;0,188;120,682;139,274;139,689;137,199;-6,525;-83,82999;118,8361;-34,18974;161,0804
3100;-0,756;20,24;-2,068;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,375;46,48;-70,371;-12,144;12,972;-14,08;-29,29;0,188;0;120,765;139,274;139,689;137,199;-6,975;-83,58099;118,3927;-33,84139;-179,1468
3200;-0,756;20,24;-1,88;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,001;-75,364;18,45;46,48;-70,371;-12,144;12,878;-14,1;-29,29;-0,094;-0,47;120,765;139,108;139,689;137,116;-117,375;-307,183;118,2579;-33,18076;-159,6088
3300;-0,756;20,24;-1,88;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,48;-70,371;-12,232;12,878;-14,1;-29,29;-0,188;-0,47;120,765;139,025;139,772;137,116;-117,375;-307,183;118,4473;-32,67064;-140,6857
3400;-0,756;20,24;-1,692;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,397;-70,371;-12,32;12,878;-14,1;-29,29;-0,282;-0,47;120,765;139,025;139,689;137,033;-117,375;-307,183;118,6005;-32,47272;-126,0404
3500;-0,756;20,24;-1,88;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,6;46,397;-70,371;-12,408;13,066;-14,1;-29,29;-0,282;-0,376;120,765;138,859;139,772;136,867;-117,375;-307,183;118,763;-32,33812;-106,2747
3600;-0,756;20,328;-2,068;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,6;46,48;-70,434;-12,496;13,442;-14,26;-29,174;-0,282;-0,188;120,765;138,776;139,772;136,618;-7,275;-81,838;118,8643;-32,29676;-89,25595
3700;-0,756;20,24;-1,974;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,6;46,397;-70,434;-12,496;13,442;-14,32;-29,116;-0,282;-0,094;120,765;138,776;139,772;136,535;-7,275;-81,589;118,9921;-32,28783;-72,27525
3800;-0,756;20,24;-1,88;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,397;-70,434;-12,584;13,536;-14,32;-28,826;-0,376;0;120,682;138,776;139,772;136,535;-7,35;-81,423;119,1907;-32,36951;-54,45898
3900;-0,756;20,328;-1,974;3,98;-7,772;16,544;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,397;-70,434;-12,584;13,536;-14,32;-28,652;-0,564;0,094;120,682;138,693;139,772;136,452;-7,425;-81,257;119,5035;-32,57014;-35,65812
4000;-0,756;20,328;-1,88;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,397;-70,434;-12,584;13,63;-14,32;-28,536;-0,564;0,188;120,682;138,693;139,772;136,369;-7,425;-81,174;119,8342;-32,90638;-18,20836
4100;-0,756;20,24;-1,786;3,98;-7,772;16,45;191,76;-52,622;-82,253;-62,084;-75,364;18,6;46,397;-70,434;-12,672;13,912;-14,34;-28,536;-0,376;0,752;120,599;138,195;139,772;136,12;-7,425;-81,091;120,1337;-33,38922;-0,2746081
4200;-0,756;20,24;-1,41;3,98;-7,772;16,356;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,397;-70,434;-12,672;13,912;-14,34;-28,536;-0,376;0,9399999;120,433;137,614;139,772;135,871;-7,425;-80,67599;120,2785;-34,01319;16,82215
4300;-0,756;20,24;-1,41;3,98;-7,772;16,356;191,76;-52,622;-82,253;-62,001;-75,364;18,6;46,397;-70,434;-12,76;13,912;-14,34;-28,536;-0,564;1,034;120,35;137,199;139,772;135,705;-7,425;-80,34399;120,2291;-34,62205;36,1916
4400;-0,756;20,24;-1,41;3,98;-7,772;16,356;191,76;-52,622;-82,253;-62,084;-75,364;18,6;46,397;-70,434;-12,76;14,006;-14,34;-28,536;-0,564;0,846;120,35;136,95;139,772;135,539;-7,425;-80,26099;120,0676;-35,15334;56,41352
4500;-0,756;20,152;-1,222;3,98;-7,772;16,356;191,76;-52,622;-82,253;-62,084;-75,364;18,525;46,397;-70,497;-12,76;14,006;-14,34;-28,304;-0,564;0,9399999;120,267;136,535;139,772;135,29;-7,5;-80,01199;119,9269;-35,53141;76,7683
